                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     200                                      480                  5.0000000000000000E+001                  2.0000000000000000E-002                  3.6733865571849623E+002                  5.0269795154073851E+000                  4.1950740117770320E+003                  6.7749694368281998E+004                  4.9343875021497189E+002                 -1.3174052000045773E+001                  7.0000000000000007E-001                  2.9797635251138255E-005                  2.7997020236474895E-001                  3.4416106108119942E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.9999903869908010E+001                 -1.3522888529046992E-007                  3.4999932708935631E+001                  1.4898788981074964E-003                  1.3998483204676141E+001                  1.7208019969825547E-001                  5.0407830427456356E-002                  4.6802143063640500E-001                  1.0497279566360430E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9997669948591621E+001                  4.9245440949425205E+002                  4.9997254829248462E+001                  4.9228963454065888E+002                  1.5520255443183571E+007                  1.7554048150485723E+003                  7.3800929046428567E+006                 -6.2117484442372518E+002                  1.0556635724631707E-017                  0.0000000000000000E+000                  4.2233560419327901E-019                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40 
                                    mass                                   radius                               luminosity                                 pressure                                   logRho                                     logT                                   energy                                  entropy                                       cp                                   gamma1                                    grada                                       mu                                   free_e                                     pgas                                     prad                                    gradr                                    gradT                                 conv_vel                                  opacity                                  eps_nuc                                       pp                                      cno                                 tri_alfa                        eps_nuc_neu_total                              non_nuc_neu                                 eps_grav                                        x                                        y                                      c12                                      n14                                      o16                                      o18                                     ne22                                      eta                                log_omega                                    v_rot                                    j_rot                           dynamo_log_B_r                         dynamo_log_B_phi                               log_D_conv 
                 4.9999903869908010E+001                  4.9343875021497189E+002                  6.7749694368281998E+004                  6.8719864636368720E+002                 -8.5905914576508025E+000                  3.6227396365105728E+000                  1.9079827752848210E+012                  2.1583686259965742E+001                  1.6198519799999997E+008                  1.6585641801357265E+000                  3.9590993896126742E-001                  1.3008291870355602E+000                  7.6153612141099665E-005                  6.8641757579137652E+002                  7.8107057231066979E-001                  1.2507073481089329E-001                  1.2507073481089329E-001                  0.0000000000000000E+000                  5.4634149853076859E-003                  5.8276219696252161E-004                  1.0453972792839295E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1822840447001532E-037                  0.0000000000000000E+000                  4.3446313156654384E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903869883006E+001                  4.9343875019618798E+002                  6.7749694368281940E+004                  6.8719864637442618E+002                 -8.5905910777572299E+000                  3.6227396380033596E+000                  1.9079827752848210E+012                  2.1583686259965742E+001                  1.6198519799999997E+008                  1.6585641801357265E+000                  3.9590993896126742E-001                  1.3008291870355602E+000                  7.6153612141099665E-005                  6.8641757579137652E+002                  7.8107058304966659E-001                  1.2507073395212953E-001                  1.2507073395212953E-001                  0.0000000000000000E+000                  5.4634149853076859E-003                  5.8276219696252161E-004                  1.0453981937999461E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1822877033721440E-037                  0.0000000000000000E+000                  4.3484605227430650E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903869858009E+001                  4.9343875017740760E+002                  6.7749694368281896E+004                  6.8720151056638952E+002                 -8.5905904669901947E+000                  3.6227396697919079E+000                  1.9079814105896824E+012                  2.1583660530222026E+001                  1.6198518199999997E+008                  1.6585641801357265E+000                  3.9590992778539652E-001                  1.3008291870355602E+000                  7.6153666610427137E-005                  6.8642043975465538E+002                  7.8107081173415993E-001                  1.2507074447330654E-001                  1.2507074447330654E-001                  0.0000000000000000E+000                  5.4634149853076859E-003                  5.8276219696252161E-004                  1.0453996640982423E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1822935855427097E-037                  0.0000000000000000E+000                  4.3467072962350723E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119864E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903868818265E+001                  4.9343874939627284E+002                  6.7749694368279554E+004                  6.8720269773192956E+002                 -8.5905897302630461E+000                  3.6227397619482895E+000                  1.9079809556915198E+012                  2.1583655384276966E+001                  1.6198518199999997E+008                  1.6585641801357265E+000                  3.9590996131300921E-001                  1.3008291870355602E+000                  7.6153593984665830E-005                  6.8642162625722870E+002                  7.8107147470081906E-001                  1.2507132416768640E-001                  1.2507132416768640E-001                  0.0000000000000000E+000                  5.4634239832164633E-003                  5.8276219696252161E-004                  1.0454014376228251E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1823006808199902E-037                  0.0000000000000000E+000                  4.3483206687636482E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903866771291E+001                  4.9343874785841626E+002                  6.7749694368274955E+004                  6.8720458065400464E+002                 -8.5905885442659162E+000                  3.6227398841768204E+000                  1.9079818654879536E+012                  2.1583650238333131E+001                  1.6198519399999997E+008                  1.6585642248392098E+000                  3.9590994641184790E-001                  1.3008292317390433E+000                  7.6153593984665965E-005                  6.8642350829999930E+002                  7.8107235400531616E-001                  1.2507163460401069E-001                  1.2507163460401069E-001                  0.0000000000000000E+000                  5.4634239832164633E-003                  5.8276219696252161E-004                  1.0454042926821608E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1823121029552313E-037                  0.0000000000000000E+000                  4.3476827034722270E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998894E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903864724310E+001                  4.9343874632056492E+002                  6.7749694368270328E+004                  6.8720388643481772E+002                 -8.5905882645627987E+000                  3.6227400675197421E+000                  1.9079809556915198E+012                  2.1583660530222026E+001                  1.6198516899999997E+008                  1.6585641801357265E+000                  3.9590996876358980E-001                  1.3008290976285930E+000                  7.6153512280767137E-005                  6.8642281276185292E+002                  7.8107367296481733E-001                  1.2507171458713648E-001                  1.2507171458713648E-001                  0.0000000000000000E+000                  5.4634359804512228E-003                  5.8276219696252161E-004                  1.0454049660146054E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1823147967326095E-037                  0.0000000000000000E+000                  4.3446821663859945E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903860630340E+001                  4.9343874324486217E+002                  6.7749694368261116E+004                  6.8721244042862963E+002                 -8.5905849202243871E+000                  3.6227404730088066E+000                  1.9079809556915198E+012                  2.1583660530222026E+001                  1.6198516499999997E+008                  1.6585644036531442E+000                  3.9590996503829939E-001                  1.3008292317390433E+000                  7.6153367029608258E-005                  6.8643136383858950E+002                  7.8107659004009600E-001                  1.2507239439154061E-001                  1.2507239439154061E-001                  0.0000000000000000E+000                  5.4634929676760941E-003                  5.8276219696252172E-004                  1.0454130169114588E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1823470056718532E-037                  0.0000000000000000E+000                  4.3472750540761478E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  3.4416106108119864E-003                  1.0081585468366045E-003                  9.3604466091399743E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998894E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903851142740E+001                  4.9343873611710109E+002                  6.7749694368239769E+004                  6.8722161139480795E+002                 -8.5905789513285686E+000                  3.6227413150333314E+000                  1.9079809556915198E+012                  2.1583645092390523E+001                  1.6198513199999997E+008                  1.6585643142461772E+000                  3.9591000229120249E-001                  1.3008290082216258E+000                  7.6153221778726163E-005                  6.8644052874723570E+002                  7.8108264757223012E-001                  1.2507487966614098E-001                  1.2507487966614098E-001                  0.0000000000000000E+000                  5.4635679517723293E-003                  5.8276219696252161E-004                  1.0454273861151605E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1824044920385859E-037                  0.0000000000000000E+000                  4.3504237867499995E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
                 4.9999903832427478E+001                  4.9343872205705088E+002                  6.7749694368197583E+004                  6.8724449534479243E+002                 -8.5905665415103147E+000                  3.6227429913289724E+000                  1.9079823203863330E+012                  2.1583645092390523E+001                  1.6198508699999997E+008                  1.6585644781589504E+000                  3.9591008424758906E-001                  1.3008292317390437E+000                  7.6152749715273097E-005                  6.8646340063779417E+002                  7.8109470699825956E-001                  1.2507825737859377E-001                  1.2507825737859377E-001                  0.0000000000000000E+000                  5.4637029257389620E-003                  5.8276219696252161E-004                  1.0454572614866492E-035                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1825240133841857E-037                  0.0000000000000000E+000                  4.3533711652698122E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  3.4416106108119860E-003                  1.0081585468366043E-003                  9.3604466091399725E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000010251998898E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001 
